base_paper_id,variant_type,score_diff,score_cat,orig_decision,variant_decision,dec_cat,rating
Koh0i2u8qX,no_abstract,-0.25,down,Reject,Reject,re2re,5.0
Koh0i2u8qX,no_conclusion,-0.25,down,Reject,Reject,re2re,5.0
Koh0i2u8qX,no_experiments,-2.25,down,Reject,Reject,re2re,3.0
Koh0i2u8qX,no_methods,-2.25,down,Reject,Reject,re2re,3.0
Koh0i2u8qX,no_introduction,-1.75,down,Reject,Reject,re2re,3.5
KzMMv0OygD,no_abstract,1.0,up,Reject,Accept,re2ac,6.0
KzMMv0OygD,no_introduction,-1.0,down,Reject,Reject,re2re,4.0
KzMMv0OygD,no_conclusion,-0.5,down,Reject,Reject,re2re,4.5
KzMMv0OygD,no_experiments,0.0,same,Reject,Reject,re2re,5.0
KzMMv0OygD,no_methods,-2.0,down,Reject,Reject,re2re,3.0
L6crLU7MIE,no_abstract,-0.25,down,Reject,Reject,re2re,4.5
L6crLU7MIE,no_introduction,0.25,up,Reject,Reject,re2re,5.0
L6crLU7MIE,no_conclusion,0.5,up,Reject,Reject,re2re,5.25
L6crLU7MIE,no_experiments,0.25,up,Reject,Reject,re2re,5.0
L6crLU7MIE,no_methods,-0.25,down,Reject,Reject,re2re,4.5
LWwYyxF3w9,no_introduction,-0.5,down,Reject,Reject,re2re,3.0
LWwYyxF3w9,no_conclusion,1.0,up,Reject,Reject,re2re,4.5
LWwYyxF3w9,no_experiments,0.0,same,Reject,Reject,re2re,3.5
LWwYyxF3w9,no_methods,-0.5,down,Reject,Reject,re2re,3.0
LWwYyxF3w9,no_abstract,1.0,up,Reject,Reject,re2re,4.5
M8J0b9gNfG,no_abstract,-1.0,down,Reject,Reject,re2re,3.5
M8J0b9gNfG,no_introduction,1.5,up,Reject,Accept,re2ac,6.0
M8J0b9gNfG,no_conclusion,0.5,up,Reject,Reject,re2re,5.0
M8J0b9gNfG,no_experiments,0.0,same,Reject,Reject,re2re,4.5
M8J0b9gNfG,no_methods,0.5,up,Reject,Reject,re2re,5.0
Mqukp3Lsnt,no_abstract,-1.5,down,Reject,Reject,re2re,3.0
Mqukp3Lsnt,no_introduction,-1.5,down,Reject,Reject,re2re,3.0
Mqukp3Lsnt,no_conclusion,0.0,same,Reject,Reject,re2re,4.5
Mqukp3Lsnt,no_experiments,-1.5,down,Reject,Reject,re2re,3.0
Mqukp3Lsnt,no_methods,-1.0,down,Reject,Reject,re2re,3.5
N0isTh3rml,no_introduction,-0.5,down,Reject,Reject,re2re,4.0
N0isTh3rml,no_conclusion,1.0,up,Reject,Reject,re2re,5.5
N0isTh3rml,no_experiments,0.5,up,Reject,Reject,re2re,5.0
N0isTh3rml,no_methods,-1.5,down,Reject,Reject,re2re,3.0
N0isTh3rml,no_abstract,-0.5,down,Reject,Reject,re2re,4.0
NSVtmmzeRB,no_abstract,1.0,up,Reject,Reject,re2re,6.0
NSVtmmzeRB,no_introduction,0.0,same,Reject,Reject,re2re,5.0
NSVtmmzeRB,no_conclusion,0.0,same,Reject,Reject,re2re,5.0
NSVtmmzeRB,no_experiments,1.0,up,Reject,Accept,re2ac,6.0
NSVtmmzeRB,no_methods,1.0,up,Reject,Accept,re2ac,6.0
OJoMzslBIa,no_abstract,0.5,up,Reject,Reject,re2re,5.0
OJoMzslBIa,no_introduction,-1.5,down,Reject,Reject,re2re,3.0
OJoMzslBIa,no_conclusion,-1.0,down,Reject,Reject,re2re,3.5
OJoMzslBIa,no_experiments,0.0,same,Reject,Reject,re2re,4.5
OJoMzslBIa,no_methods,-1.5,down,Reject,Reject,re2re,3.0
PCm1oT8pZI,no_abstract,2.0,up,Reject,Reject,re2re,5.0
PCm1oT8pZI,no_introduction,1.5,up,Reject,Reject,re2re,4.5
PCm1oT8pZI,no_conclusion,2.5,up,Reject,Accept,re2ac,5.5
PCm1oT8pZI,no_experiments,1.5,up,Reject,Reject,re2re,4.5
PCm1oT8pZI,no_methods,1.5,up,Reject,Reject,re2re,4.5
Q9R10ZKd8z,no_abstract,0.0,same,Reject,Reject,re2re,5.0
Q9R10ZKd8z,no_introduction,0.25,up,Reject,Reject,re2re,5.25
Q9R10ZKd8z,no_conclusion,0.0,same,Reject,Reject,re2re,5.0
Q9R10ZKd8z,no_experiments,-0.5,down,Reject,Reject,re2re,4.5
Q9R10ZKd8z,no_methods,-2.0,down,Reject,Reject,re2re,3.0
QGR5IeMNDF,no_abstract,-1.0,down,Reject,Reject,re2re,3.5
QGR5IeMNDF,no_introduction,-0.75,down,Reject,Reject,re2re,3.75
QGR5IeMNDF,no_conclusion,-1.0,down,Reject,Reject,re2re,3.5
QGR5IeMNDF,no_experiments,0.0,same,Reject,Reject,re2re,4.5
QGR5IeMNDF,no_methods,-0.5,down,Reject,Reject,re2re,4.0
QMkYEau02q,no_abstract,-2.0,down,Accept,Reject,ac2re,4.5
QMkYEau02q,no_introduction,-2.5,down,Accept,Reject,ac2re,4.0
QMkYEau02q,no_conclusion,-3.5,down,Accept,Reject,ac2re,3.0
QMkYEau02q,no_experiments,-3.5,down,Accept,Reject,ac2re,3.0
QMkYEau02q,no_methods,-2.0,down,Accept,Reject,ac2re,4.5
QO3yH7X8JJ,no_abstract,-1.5,down,Reject,Reject,re2re,4.0
QO3yH7X8JJ,no_introduction,-0.5,down,Reject,Reject,re2re,5.0
QO3yH7X8JJ,no_conclusion,0.5,up,Reject,Accept,re2ac,6.0
QO3yH7X8JJ,no_experiments,-2.0,down,Reject,Reject,re2re,3.5
QO3yH7X8JJ,no_methods,-1.0,down,Reject,Reject,re2re,4.5
QcgvtqxRhI,no_abstract,2.0,up,Reject,Reject,re2re,5.5
QcgvtqxRhI,no_introduction,1.5,up,Reject,Reject,re2re,5.0
QcgvtqxRhI,no_conclusion,1.5,up,Reject,Reject,re2re,5.0
QcgvtqxRhI,no_experiments,0.0,same,Reject,Reject,re2re,3.5
QcgvtqxRhI,no_methods,-0.5,down,Reject,Reject,re2re,3.0
Qox9rO0kN0,no_abstract,0.75,up,Reject,Reject,re2re,5.75
Qox9rO0kN0,no_introduction,-1.0,down,Reject,Reject,re2re,4.0
Qox9rO0kN0,no_conclusion,-1.5,down,Reject,Reject,re2re,3.5
Qox9rO0kN0,no_experiments,-2.0,down,Reject,Reject,re2re,3.0
Qox9rO0kN0,no_methods,-0.5,down,Reject,Reject,re2re,4.5
RN2lIjrtSR,no_abstract,-0.5,down,Accept,Reject,ac2re,5.0
RN2lIjrtSR,no_introduction,-0.25,down,Accept,Reject,ac2re,5.25
RN2lIjrtSR,no_conclusion,0.25,up,Accept,Reject,ac2re,5.75
RN2lIjrtSR,no_experiments,-1.0,down,Accept,Reject,ac2re,4.5
RN2lIjrtSR,no_methods,-0.5,down,Accept,Reject,ac2re,5.0
RUKTunGWJe,no_abstract,-1.5,down,Reject,Reject,re2re,3.0
RUKTunGWJe,no_introduction,-0.5,down,Reject,Reject,re2re,4.0
RUKTunGWJe,no_conclusion,-1.5,down,Reject,Reject,re2re,3.0
RUKTunGWJe,no_experiments,-1.5,down,Reject,Reject,re2re,3.0
RUKTunGWJe,no_methods,-1.5,down,Reject,Reject,re2re,3.0
RVaUSKSh9t,no_abstract,0.0,same,Reject,Reject,re2re,3.0
RVaUSKSh9t,no_introduction,1.75,up,Reject,Reject,re2re,4.75
RVaUSKSh9t,no_conclusion,0.0,same,Reject,Reject,re2re,3.0
RVaUSKSh9t,no_experiments,1.5,up,Reject,Reject,re2re,4.5
RVaUSKSh9t,no_methods,1.0,up,Reject,Reject,re2re,4.0
SXj1qjFEpQ,no_abstract,1.5,up,Reject,Reject,re2re,6.0
SXj1qjFEpQ,no_introduction,-1.5,down,Reject,Reject,re2re,3.0
SXj1qjFEpQ,no_conclusion,0.0,same,Reject,Reject,re2re,4.5
SXj1qjFEpQ,no_experiments,-1.0,down,Reject,Reject,re2re,3.5
SXj1qjFEpQ,no_methods,0.5,up,Reject,Reject,re2re,5.0
SqMVI1GFnp,no_abstract,0.0,same,Reject,Reject,re2re,3.0
SqMVI1GFnp,no_introduction,1.5,up,Reject,Reject,re2re,4.5
SqMVI1GFnp,no_conclusion,2.0,up,Reject,Reject,re2re,5.0
SqMVI1GFnp,no_experiments,0.0,same,Reject,Reject,re2re,3.0
SqMVI1GFnp,no_methods,1.5,up,Reject,Reject,re2re,4.5
TKDwsJmrDJ,no_abstract,1.25,up,Accept,Reject,ac2re,5.25
TKDwsJmrDJ,no_introduction,-1.0,down,Accept,Reject,ac2re,3.0
TKDwsJmrDJ,no_conclusion,0.5,up,Accept,Reject,ac2re,4.5
TKDwsJmrDJ,no_experiments,-0.5,down,Accept,Reject,ac2re,3.5
TKDwsJmrDJ,no_methods,-0.5,down,Accept,Reject,ac2re,3.5
TKnzPdyeJu,no_abstract,-1.0,down,Reject,Reject,re2re,4.0
TKnzPdyeJu,no_introduction,-2.0,down,Reject,Reject,re2re,3.0
TKnzPdyeJu,no_methods,-3.0,down,Reject,Reject,re2re,2.0
TKnzPdyeJu,no_conclusion,-1.5,down,Reject,Reject,re2re,3.5
TKnzPdyeJu,no_experiments,-2.0,down,Reject,Reject,re2re,3.0
UbxWjq0UO2,no_abstract,-1.5,down,Reject,Reject,re2re,3.0
UbxWjq0UO2,no_introduction,0.5,up,Reject,Reject,re2re,5.0
UbxWjq0UO2,no_conclusion,0.75,up,Reject,Accept,re2ac,5.25
UbxWjq0UO2,no_experiments,0.75,up,Reject,Accept,re2ac,5.25
UbxWjq0UO2,no_methods,-0.25,down,Reject,Reject,re2re,4.25
WLgbjzKJkk,no_abstract,1.5,up,Reject,Accept,re2ac,6.0
WLgbjzKJkk,no_introduction,0.75,up,Reject,Reject,re2re,5.25
WLgbjzKJkk,no_conclusion,1.25,up,Reject,Reject,re2re,5.75
WLgbjzKJkk,no_experiments,0.25,up,Reject,Reject,re2re,4.75
WLgbjzKJkk,no_methods,0.0,same,Reject,Reject,re2re,4.5
WNSjteBJd9,no_abstract,0.0,same,Reject,Reject,re2re,5.0
WNSjteBJd9,no_introduction,-0.5,down,Reject,Reject,re2re,4.5
WNSjteBJd9,no_conclusion,0.0,same,Reject,Reject,re2re,5.0
WNSjteBJd9,no_experiments,-0.5,down,Reject,Reject,re2re,4.5
WNSjteBJd9,no_methods,-0.5,down,Reject,Reject,re2re,4.5
YhwDw31DGI,no_abstract,1.5,up,Reject,Accept,re2ac,4.5
YhwDw31DGI,no_introduction,0.0,same,Reject,Reject,re2re,3.0
YhwDw31DGI,no_conclusion,0.0,same,Reject,Reject,re2re,3.0
YhwDw31DGI,no_experiments,1.5,up,Reject,Reject,re2re,4.5
YhwDw31DGI,no_methods,1.5,up,Reject,Reject,re2re,4.5
ZMjflI1aL0,no_abstract,-2.0,down,Reject,Reject,re2re,3.0
ZMjflI1aL0,no_introduction,-2.0,down,Reject,Reject,re2re,3.0
ZMjflI1aL0,no_conclusion,-0.25,down,Reject,Reject,re2re,4.75
ZMjflI1aL0,no_experiments,-0.5,down,Reject,Reject,re2re,4.5
ZMjflI1aL0,no_methods,0.0,same,Reject,Reject,re2re,5.0
b3kDP3IytM,no_abstract,-1.0,down,Accept,Reject,ac2re,5.0
b3kDP3IytM,no_introduction,-1.25,down,Accept,Reject,ac2re,4.75
b3kDP3IytM,no_conclusion,0.0,same,Accept,Reject,ac2re,6.0
b3kDP3IytM,no_experiments,-3.0,down,Accept,Reject,ac2re,3.0
b3kDP3IytM,no_methods,-1.0,down,Accept,Reject,ac2re,5.0
bAXmvOLtjA,no_abstract,1.0,up,Reject,Accept,re2ac,6.0
bAXmvOLtjA,no_introduction,-2.0,down,Reject,Reject,re2re,3.0
bAXmvOLtjA,no_conclusion,-0.25,down,Reject,Reject,re2re,4.75
bAXmvOLtjA,no_experiments,-0.25,down,Reject,Reject,re2re,4.75
bAXmvOLtjA,no_methods,-1.0,down,Reject,Reject,re2re,4.0
bCvm9h0FmQ,no_introduction,-1.25,down,Reject,Reject,re2re,4.0
bCvm9h0FmQ,no_conclusion,-0.25,down,Reject,Reject,re2re,5.0
bCvm9h0FmQ,no_experiments,-0.75,down,Reject,Reject,re2re,4.5
bCvm9h0FmQ,no_methods,-0.25,down,Reject,Reject,re2re,5.0
bCvm9h0FmQ,no_abstract,-0.25,down,Reject,Reject,re2re,5.0
bO1UP57GAw,no_abstract,-0.75,down,Reject,Reject,re2re,4.5
bO1UP57GAw,no_introduction,-2.25,down,Reject,Reject,re2re,3.0
bO1UP57GAw,no_conclusion,-0.25,down,Reject,Reject,re2re,5.0
bO1UP57GAw,no_experiments,-2.25,down,Reject,Reject,re2re,3.0
bO1UP57GAw,no_methods,-0.75,down,Reject,Reject,re2re,4.5
bRm0rul3SZ,no_abstract,-0.75,down,Reject,Accept,re2ac,5.0
bRm0rul3SZ,no_introduction,-0.5,down,Reject,Reject,re2re,5.25
bRm0rul3SZ,no_conclusion,0.0,same,Reject,Reject,re2re,5.75
bRm0rul3SZ,no_experiments,0.0,same,Reject,Reject,re2re,5.75
bRm0rul3SZ,no_methods,-0.5,down,Reject,Reject,re2re,5.25
bTMMNT7IdW,no_abstract,-0.5,down,Reject,Reject,re2re,4.5
bTMMNT7IdW,no_introduction,-0.25,down,Reject,Reject,re2re,4.75
bTMMNT7IdW,no_conclusion,-0.5,down,Reject,Reject,re2re,4.5
bTMMNT7IdW,no_experiments,-0.5,down,Reject,Reject,re2re,4.5
bTMMNT7IdW,no_methods,-1.5,down,Reject,Reject,re2re,3.5
crF9dk4poo,no_abstract,-0.75,down,Reject,Reject,re2re,4.0
crF9dk4poo,no_introduction,-1.25,down,Reject,Reject,re2re,3.5
crF9dk4poo,no_conclusion,0.25,up,Reject,Reject,re2re,5.0
crF9dk4poo,no_experiments,-0.25,down,Reject,Reject,re2re,4.5
crF9dk4poo,no_methods,0.25,up,Reject,Reject,re2re,5.0
dumkzmqTmS,no_abstract,0.0,same,Reject,Reject,re2re,3.0
dumkzmqTmS,no_introduction,0.0,same,Reject,Reject,re2re,3.0
dumkzmqTmS,no_conclusion,-2.0,down,Reject,Reject,re2re,1.0
dumkzmqTmS,no_experiments,0.0,same,Reject,Reject,re2re,3.0
